ylogistic,xdpend,ydpend,xlorenz,ylorenz,zlorenz
9.280417042189184063e-01,-4.838044078347449872e-01,-6.551004014778115392e-02,-5.573101182997501013e+00,7.563511871146990639e-01,3.113748569331557547e+01
2.537651379075830937e-01,-4.797837287652065852e-01,-4.432645627946626282e-02,-4.940155945986281161e+00,9.236429275341000444e-01,3.026489673291814597e+01
7.195998922232479389e-01,-4.745397965899773030e-01,-2.392770142217693838e-02,-4.353776058634243107e+00,1.026295928880463837e+00,2.941210253604696234e+01
7.667483718750439659e-01,-4.681789644250851645e-01,-4.423233829384297724e-03,-3.815768859882772368e+00,1.077512751729438945e+00,2.858299913496825440e+01
6.796121631876502756e-01,-4.608080759628420675e-01,1.409838360050954219e-02,-3.326440698721551126e+00,1.088983523657649055e+00,2.777957515199689453e+01
8.274099891732009660e-01,-4.525315164677084501e-01,3.156674101263399340e-02,-2.884898276483631285e+00,1.070761386567002260e+00,2.700246949155981824e+01
5.426502561604967800e-01,-4.434493782171761156e-01,4.792663526463399742e-02,-2.489332310178567820e+00,1.031276032255943109e+00,2.625142325343359317e+01
9.430876314678872108e-01,-4.336565032912269579e-01,6.313524613778774552e-02,-2.137271475935116793e+00,9.774353860128368598e-01,2.552562590778644491e+01
2.039587331926755176e-01,-4.232421644986972264e-01,7.715961187003556043e-02,-1.825800789740321450e+00,9.147769404718997244e-01,2.482396701712483278e+01
6.169663597190351290e-01,-4.122901842910866588e-01,8.997447456281150446e-02,-1.551743016719099311e+00,8.476411357834328086e-01,2.414520981217461681e+01
8.980117086374935775e-01,-4.008793329811398132e-01,1.015605025869043276e-01,-1.311804601468846254e+00,7.793482868768450977e-01,2.348810385435256265e+01
3.480293831923590986e-01,-3.890838961896697090e-01,1.119028622122600208e-01,-1.102689312634277163e+00,7.123675427559780227e-01,2.285145259786825989e+01
8.622387401829996190e-01,-3.769743339650194480e-01,1.209900980879540511e-01,-9.211836270952515893e-01,6.484713853692017915e-01,2.223414915632246647e+01
4.513757614204064739e-01,-3.646179837922322586e-01,1.288132796733144625e-01,-7.642181258488062179e-01,5.888725975808188906e-01,2.163519078609492752e+01
9.410155970057080266e-01,-3.520797778673889766e-01,1.353653759299954518e-01,-6.289090535058436959e-01,5.343428459166532640e-01,2.105367997670090574e+01
2.109199241512559331e-01,-3.394229572481185508e-01,1.406408272813900184e-01,-5.125838635635939777e-01,4.853133819454694686e-01,2.048881780118756168e+01
6.324442970396806363e-01,-3.267097746284098880e-01,1.446352929988954095e-01,-4.127941390126876331e-01,4.419591402120410795e-01,1.993989339234632396e+01
8.833423310903264492e-01,-3.140021807177135194e-01,1.473455600300617729e-01,-3.273188110902147674e-01,4.042679011353519369e-01,1.940627205414482148e+01
3.915848973380912090e-01,-3.013624906171119000e-01,1.487696073197499746e-01,-2.541601398676580637e-01,3.720963339832976668e-01,1.888738353357316413e+01
9.053354289562695056e-01,-2.888540254247120576e-01,1.489068267031904980e-01,-1.915344924825624906e-01,3.452147318867910264e-01,1.838271129416987293e+01
3.256721221247805831e-01,-2.765417208970720742e-01,1.477584075844510236e-01,-1.378595700456271556e-01,3.233421594546285749e-01,1.789178317866966950e+01
8.345172057829858270e-01,-2.644926894306487974e-01,1.453278974241241084e-01,-9.173939709560158251e-02,3.061735936109165612e-01,1.741416356318374881e+01
